"","gender","percentage"
"1","male",4.9
"2","male",5.5
"3","male",6.5
"4","male",0
"5","male",0
"6","male",3
"7","male",2.8
"8","male",6.4
"9","male",1
"10","male",0.9
"11","male",0
"12","male",28.1
"13","male",8.7
"14","male",1.6
"15","male",5.1
"16","male",17
"17","male",4.7
"18","male",28.1
"19","female",0
"20","female",1.3
"21","female",2.2
"22","female",0
"23","female",1.3
"24","female",0
"25","female",0
"26","female",0
"27","female",0
"28","female",3.9
"29","female",0
"30","female",10.1
"31","female",5.2
"32","female",3.2
"33","female",0
